time
,EMG0,EMG1,EMG2,EMG3,EMG4,EMG5,EMG63493192475,43,73,56,56,99,38,73
3493242475,48,85,64,58,116,41,69
3493292475,42,66,52,57,98,37,66
3493342475,42,81,38,56,148,44,65
3493392475,40,78,70,60,142,45,64
3493442475,39,64,42,57,126,39,64
3493492475,42,82,52,60,140,43,65
3493542475,40,58,37,61,121,44,65
3493592475,39,44,31,64,150,49,65
3493642475,43,50,34,67,160,46,65
3493692475,40,45,30,81,129,42,65
3493742475,39,40,29,76,177,44,65
3493792475,39,50,30,61,153,50,65
3493842475,40,69,41,66,148,51,65
3493892475,47,78,35,60,133,53,65
3493942475,41,55,37,73,93,43,65
3493992475,66,47,40,134,82,41,65
3494042475,76,43,37,89,97,43,65
3494092475,76,45,50,92,92,44,65
3494142475,64,39,40,101,98,42,65
3494192475,56,43,33,86,92,44,66
3494242475,46,38,37,76,100,42,66
3494292475,41,37,31,64,102,42,66
3494342475,39,37,35,78,84,45,66
3494392475,38,36,31,60,102,48,61
3494442475,38,36,30,74,144,45,56
3494492475,38,37,29,83,97,39,60
3494542475,38,37,29,94,142,50,83
3494592475,38,37,30,98,77,40,124
3494642475,38,37,29,109,76,41,93
3494692475,38,37,29,265,112,42,78
3494742475,38,38,29,705,81,37,76
3494792475,38,52,29,321,60,35,71
3494842475,45,77,40,174,37,37,84
3494892475,50,80,45,105,27,34,79
3494942475,43,54,34,68,23,34,71
3494992475,39,43,31,61,21,31,69
3495042475,39,41,32,57,21,34,70
3495092475,39,39,31,53,21,34,67
3495142475,38,37,29,51,21,31,66
3495192475,38,36,29,50,21,31,58
3495242475,38,37,50,78,21,31,65
3495292475,38,61,54,184,21,32,151
3495342475,39,91,63,172,21,42,121
3495392475,51,123,110,125,48,99,116
3495442475,53,104,112,155,111,79,233
3495492475,61,89,92,214,50,48,304
3495542475,64,96,106,163,30,36,259
3495592475,69,110,92,120,24,33,242
3495642475,48,78,57,95,22,31,278
3495692475,43,74,46,78,57,34,278
3495742475,41,61,45,90,311,55,238
3495792475,41,45,34,147,336,57,261
3495842475,39,40,31,253,158,42,297
3495892475,38,38,30,434,86,36,347
3495942475,38,37,30,196,42,42,382
3495992475,41,38,33,102,29,39,347
3496042475,59,44,58,77,25,33,255
3496092475,73,51,89,69,33,35,164
3496142475,52,42,65,69,36,33,127
3496192475,42,38,43,62,28,35,109
3496242475,40,37,33,53,28,32,123
3496292475,39,37,44,101,23,32,128
3496342475,38,48,48,81,21,31,162
3496392475,39,102,84,130,30,38,187
3496442475,157,150,103,180,53,49,126
3496492475,96,119,93,146,156,89,160
3496542475,105,189,227,252,70,50,157
3496592475,81,120,153,229,67,38,163
3496642475,77,149,164,142,72,48,174
3496692475,51,82,74,136,153,42,148
3496742475,43,70,53,117,144,53,166
3496792475,41,78,57,201,246,56,173
3496842475,41,57,52,185,213,46,242
3496892475,40,43,56,158,175,41,353
3496942475,41,40,40,308,133,41,415
3496992475,39,37,33,170,129,35,429
3497042475,39,37,30,121,59,34,391
3497092475,38,36,30,84,33,32,305
3497142475,38,37,33,82,26,31,176
3497192475,48,46,43,62,24,31,149
3497242475,75,41,43,53,36,32,162
3497292475,52,38,41,54,27,32,171
3497342475,52,38,37,52,24,32,171
3497392475,43,36,31,55,26,30,157
3497442475,40,36,29,61,22,30,168
3497492475,39,43,42,60,22,30,185
3497542475,47,88,69,60,68,31,166
3497592475,43,113,60,55,38,30,114
3497642475,63,107,60,57,49,45,100
3497692475,67,113,107,62,140,53,85
3497742475,74,137,99,65,252,73,77
3497792475,60,116,56,63,266,88,71
3497842475,47,65,39,93,112,51,63
3497892475,41,53,32,66,149,54,65
3497942475,39,42,30,71,111,51,66
3497992475,38,38,32,80,174,67,66
3498042475,38,37,31,74,126,63,66
3498092475,38,36,30,77,64,43,66
3498142475,38,36,29,74,39,37,65
3498192475,38,36,29,112,48,34,65
3498242475,38,36,28,117,34,35,72
3498292475,38,36,29,131,32,38,90
3498342475,38,36,28,117,25,33,112
3498392475,38,36,28,102,23,30,127
3498442475,38,36,28,81,22,34,105
3498492475,38,36,31,58,21,33,83
3498542475,38,41,30,50,22,31,74
3498592475,37,44,29,50,22,29,65
3498642475,38,40,29,48,21,31,72
3498692475,38,38,28,47,20,31,72
3498742475,38,37,28,50,21,31,69
3498792475,38,36,28,50,21,30,79
3498842475,38,40,33,49,22,30,111
3498892475,39,70,59,56,24,30,164
3498942475,43,80,67,58,25,30,121
3498992475,54,108,56,65,33,35,91
3499042475,60,142,137,81,145,47,92
3499092475,65,99,85,201,145,43,125
3499142475,50,76,56,176,167,46,109
3499192475,42,50,40,134,177,46,106
3499242475,40,55,34,114,103,37,101
3499292475,38,46,32,90,130,35,116
3499342475,39,54,35,93,64,31,130
3499392475,38,44,30,93,49,30,162
3499442475,38,38,30,100,42,30,194
3499492475,38,37,29,98,175,41,228
3499542475,39,44,54,139,79,34,267
3499592475,38,38,36,166,56,33,283
3499642475,39,37,32,208,40,31,287
3499692475,38,55,60,125,93,34,272
3499742475,40,66,76,91,47,35,226
3499792475,40,75,57,64,29,34,163
3499842475,39,66,47,53,24,37,149
3499892475,39,67,51,56,22,35,219
3499942475,40,52,38,209,21,33,241
