time
,EMG0,EMG16419057,114,115
6469057,114,116
6519057,113,115
6569057,114,117
6619057,113,117
6669057,113,119
6719057,113,119
6769057,114,117
6819057,114,117
6869057,116,118
6919057,117,117
6969057,115,119
7019057,117,120
7069057,118,122
7119057,118,122
7169057,121,127
7219057,126,136
7269057,138,134
7319057,169,135
7369057,209,133
7419057,219,153
7469057,198,183
7519057,201,299
7569057,337,457
7619057,455,622
7669057,383,644
7719057,378,597
7769057,379,528
7819057,363,465
7869057,376,409
7919057,388,502
7969057,361,550
8019057,324,548
8069057,298,562
8119057,214,518
8169057,175,489
8219057,217,492
8269057,218,418
8319057,213,406
8369057,309,474
8419057,209,351
8469057,154,274
8519057,141,209
8569057,146,197
8619057,160,210
8669057,170,286
8719057,218,333
8769057,206,291
8819057,216,248
8869057,155,201
8919057,128,187
8969057,132,206
9019057,184,267
9069057,284,339
9119057,250,346
9169057,274,295
9219057,189,227
9269057,143,181
9319057,134,176
9369057,169,223
9419057,161,222
9469057,240,281
9519057,355,393
9569057,268,291
9619057,258,268
9669057,190,220
9719057,147,198
9769057,132,206
9819057,144,229
9869057,178,240
9919057,233,273
9969057,218,244
10019057,177,212
10069057,153,216
10119057,183,224
10169057,261,336
10219057,368,439
10269057,568,423
10319057,531,362
10369057,331,245
10419057,268,263
10469057,198,234
10519057,202,276
10569057,270,339
10619057,231,285
10669057,193,225
10719057,151,194
10769057,125,191
10819057,112,207
10869057,112,223
10919057,119,228
10969057,135,232
11019057,130,234
11069057,133,243
11119057,163,244
11169057,164,264
11219057,169,281
11269057,161,278
11319057,161,280
11369057,158,271
11419057,153,266
11469057,144,274
11519057,149,274
11569057,152,269
11619057,156,258
11669057,151,248
11719057,147,253
11769057,146,258
11819057,140,262
11869057,139,260
11919057,138,258
11969057,135,254
12019057,133,256
12069057,132,247
12119057,127,235
12169057,123,233
12219057,121,234
12269057,118,232
12319057,118,226
12369057,115,226
12419057,111,228
12469057,106,230
12519057,102,229
12569057,101,229
12619057,106,222
12669057,110,216
12719057,105,215
12769057,112,213
12819057,120,214
12869057,131,222
12919057,143,218
12969057,165,205
13019057,207,217
13069057,353,473
13119057,284,385
13169057,649,804
13219057,965,949
13269057,769,710
13319057,514,461
13369057,368,310
13419057,322,273
13469057,336,368
13519057,337,321
13569057,337,440
13619057,368,458
13669057,432,413
13719057,315,315
13769057,340,315
13819057,252,238
13869057,276,272
13919057,219,218
13969057,205,234
14019057,245,226
14069057,213,205
14119057,182,193
14169057,188,180
14219057,167,183
14269057,153,170
14319057,153,163
14369057,135,180
14419057,145,171
14469057,135,175
14519057,164,180
14569057,154,166
14619057,142,153
14669057,149,151
14719057,156,153
14769057,154,145
14819057,150,134
14869057,146,143
14919057,144,139
14969057,140,146
15019057,148,145
15069057,158,148
15119057,149,166
15169057,148,151
15219057,154,160
