time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7
72552446,316,154,183,190,87,121,453
72585779,377,155,192,213,86,122,351
72619112,409,167,248,208,86,121,295
72652445,347,158,186,197,85,120,3870
72685778,516,166,262,190,88,122,3872
72719111,415,160,213,187,84,121,2726
72752444,384,153,192,186,93,122,1730
72785777,280,151,160,189,89,120,1145
72819110,215,150,138,194,89,122,903
72852443,297,149,148,188,86,122,628
72885776,248,150,154,186,87,123,459
72919109,398,150,174,185,86,122,3878
72952442,273,152,143,193,90,124,3416
72985775,211,148,130,239,91,122,3108
73019108,181,148,122,212,89,124,2789
73052441,167,148,120,198,89,127,2038
73085774,162,148,118,192,87,125,1318
73119107,158,148,117,187,86,124,873
73152440,156,147,117,184,86,124,608
73185773,157,147,117,184,86,123,441
73219106,156,148,116,184,87,123,3869
73252439,154,148,116,185,87,124,3026
73285772,155,147,117,183,85,123,2102
73319105,154,148,118,183,83,122,1662
73352438,155,147,116,183,83,121,1216
73385771,155,148,116,183,85,121,818
73419104,156,150,116,184,86,123,573
73452437,155,147,116,183,84,123,563
73485770,155,148,116,184,86,122,522
73519103,152,147,116,183,86,123,449
73552436,154,147,118,183,85,120,417
73585769,155,147,116,184,86,122,421
73619102,156,147,116,183,85,122,331
73652435,156,148,116,183,83,124,272
73685768,155,147,116,184,87,123,3877
73719101,154,148,116,183,89,124,3403
73752434,154,148,116,183,88,123,2863
73785767,155,148,117,183,86,124,2345
73819100,156,148,116,184,86,122,1897
73852433,155,147,116,184,86,122,1529
73885766,155,148,117,183,85,122,1069
73919099,154,146,116,184,87,121,728
73952432,156,147,116,184,85,123,515
73985765,155,148,116,183,83,123,3878
74019098,156,147,116,183,86,123,3365
74052431,155,147,116,184,87,123,2844
74085764,155,148,115,184,85,121,2499
74119097,155,148,116,184,85,122,2196
74152430,157,148,116,184,85,123,1775
74185763,157,148,116,184,85,122,1424
74219096,153,147,117,185,84,122,1064
74252429,158,148,117,181,83,122,728
74285762,154,148,116,185,86,120,521
74319095,154,147,116,183,85,122,393
74352428,156,147,117,185,84,124,311
74385761,154,148,116,184,91,123,260
74419094,154,146,117,183,88,125,227
74452427,154,148,116,184,87,122,3877
74485760,155,148,116,184,84,122,3404
